CASE_NUMBER,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,BEGIN_DATE,END_DATE,EMPLOYER_NAME,TRADE_NAME_DBA,WORKSITE_ADDRESS1,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,PW_WAGE_LEVEL,Year,Quarter
I-200-25080-794282,Registered Nurse “ Float,29-1141.00,registered nurses,Y,2025-05-12 00:00:00,2028-05-11 00:00:00,"Management Health Systems, LLC",MedPro International,3214 E Race Avenue,Searcy,WHITE,AR,72143,32,,Hour,II,2025,Q2
I-200-25079-790974,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,33.36,,Hour,I,2025,Q2
I-200-25079-791298,ER Registered Nurse,29-1141.00,registered nurses,Y,2025-04-07 00:00:00,2028-04-06 00:00:00,StaffCo of Brooklyn LLC,Southampton PEO,400 Pantigo Rd,East Hampton,SUFFOLK,NY,11937,52.02,63.21,Hour,,2025,Q2
I-200-25079-792073,ER Nurse,29-1141.00,registered nurses,Y,2025-04-17 00:00:00,2028-04-16 00:00:00,SMP Health- St. Aloisius Hospital,SMP Health- St. Aloisius,325 Brewster Street E,Harvey,WELLS,ND,58341,34.33,,Hour,II,2025,Q2
I-200-25079-792072,ER Nurse,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,SMP Health- St. Aloisius Hospital,SMP Health- St. Aloisius,325 Brewster Street E,Harvey,WELLS,ND,58341,33.3,,Hour,II,2025,Q2
I-200-25079-791023,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-05-05 00:00:00,2028-05-04 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,33.36,,Hour,I,2025,Q2
I-200-25079-792727,Registered Nurse “ 5 East Pulmonary Unit,29-1141.00,registered nurses,Y,2025-05-15 00:00:00,2028-05-14 00:00:00,"COVENANT MEDICAL CENTER, INC.",COVENANT HEALTHCARE,700 Cooper,Saginaw,SAGINAW,MI,48602,35.28,,Hour,I,2025,Q2
I-200-25079-790993,Registered Nurse,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,33.36,,Hour,I,2025,Q2
I-200-25078-789110,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,41.07,,Hour,II,2025,Q2
I-200-25078-787091,Registered Nurse Operating Room,29-1141.00,registered nurses,Y,2025-05-01 00:00:00,2028-04-30 00:00:00,Scotland County Memorial Hospital,Scotland County Hospital,450 East Sigler Avenue,Memphis,SCOTLAND,MO,63555,40.25,,Hour,II,2025,Q2
I-200-25078-787593,Registered Nurse - Critical Care Float Pool,29-1141.00,registered nurses,Y,2025-05-12 00:00:00,2028-05-11 00:00:00,DuBois Regional Medical Center (d/b/a Penn Highlands DuBois),,100 Hospital Avenue,DuBois,CLEARFIELD,PA,15801,34.8,,Hour,II,2025,Q2
I-200-25078-789049,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,41.89,,Hour,II,2025,Q2
I-200-25078-787570,Registered Nurse - Emergency Department,29-1141.00,registered nurses,Y,2025-05-12 00:00:00,2028-05-11 00:00:00,Monongahela Valley Hospital (d/b/a Penn Highlands Mon Valley),,1163 Country Club Road,Monongahela,WASHINGTON,PA,15063,40.21,,Hour,III,2025,Q2
I-200-25078-786808,Registered Nurse,29-1141.00,registered nurses,Y,2025-05-10 00:00:00,2028-05-09 00:00:00,Cincinnati Children's Hospital Medical Center,,3333 Burnet Ave,Cincinnati,HAMILTON,OH,45229,34,,Hour,I,2025,Q2
I-200-25078-789081,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,40.26,,Hour,II,2025,Q2
I-200-25078-787568,Staff Nurse- ER,29-1141.00,registered nurses,Y,2025-04-17 00:00:00,2028-04-16 00:00:00,Jacobson Memorial Hospital Care Center,,601 East Street North,Elgin,GRANT,ND,58533,34.48,,Hour,II,2025,Q2
I-200-25077-784489,Registered Nurse - System Float Pool,29-1141.00,registered nurses,Y,2025-05-01 00:00:00,2028-04-30 00:00:00,Methodist Le Bonheur Healthcare,,5865 Shelby Oaks Circle,Memphis,SHELBY,TN,38134,42.66,,Hour,II,2025,Q2
I-200-25078-786203,Registered Nurse (Critical Care Unit),29-1141.00,registered nurses,Y,2025-05-01 00:00:00,2028-04-30 00:00:00,Auburn Community Hospital,,17 Lansing St,Auburn,CAYUGA,NY,13021,41,49,Hour,III,2025,Q2
I-200-25077-783391,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,29.82,,Hour,I,2025,Q2
I-200-25076-780480,Registered Nurse,29-1141.00,registered nurses,N,2025-09-12 00:00:00,2028-09-11 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,45.1,,Hour,II,2025,Q2
I-200-25076-780504,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-12 00:00:00,2028-09-11 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,45.1,,Hour,II,2025,Q2
I-200-25076-780455,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-12 00:00:00,2028-09-11 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,45.1,,Hour,II,2025,Q2
I-200-25076-780495,Registered Nurse IV,29-1141.00,registered nurses,Y,2025-04-21 00:00:00,2028-04-20 00:00:00,The Unity Hospital of Rochester,,1555 Long Pond Road,Rochester,MONROE,NY,14626,37.96,,Hour,II,2025,Q2
I-200-25073-775702,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,43.59,,Hour,II,2025,Q2
I-200-25073-775677,Registered Nurse - Stepdown Unit,29-1141.00,registered nurses,Y,2025-05-26 00:00:00,2028-05-25 00:00:00,"Cumberland County Hospital System, Inc.",Cape Fear Valley Health System,1638 Owen Drive,Fayetteville,CUMBERLAND,NC,28304,35.82,,Hour,II,2025,Q2
I-200-25073-777611,Clinical Nurse III,29-1141.00,registered nurses,Y,2025-03-14 00:00:00,2028-03-13 00:00:00,"Avant Healthcare Professionals, LLC.",,1901 W. Clinch Ave,Knoxville,KNOX,TN,37916-2398,33.57,,Hour,III,2025,Q2
I-200-25073-775668,Registered Nurse - Stepdown Unit,29-1141.00,registered nurses,Y,2025-05-26 00:00:00,2028-05-25 00:00:00,"Cumberland County Hospital System, Inc.",Cape Fear Valley Health System,1638 Owen Drive,Fayetteville,CUMBERLAND,NC,28304,46.74,,Hour,II,2025,Q2
I-200-25073-775693,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,39.07,,Hour,II,2025,Q2
I-200-25073-777612,Clinical Nurse III,29-1141.00,registered nurses,Y,2025-03-14 00:00:00,2028-03-13 00:00:00,"Avant Healthcare Professionals, LLC.",,1901 W. Clinch Ave,Knoxville,KNOX,TN,37916-2398,33.57,,Hour,III,2025,Q2
I-200-25073-778158,Tier 2 Acute Care Step-Down ICU - RN,29-1141.00,registered nurses,Y,2025-03-31 00:00:00,2028-03-30 00:00:00,KL Health,,1900 Pine Street,Abilene,TAYLOR,TX,79601,34.25,,Hour,II,2025,Q2
I-200-25072-773195,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,39.86,,Hour,II,2025,Q2
I-200-25072-773626,Registered Nurse “ Critical Care Float Pool,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,DUBOIS REGIONAL MEDICAL CENTER,PENN HIGHLANDS DUBOIS,100 HOSPITAL AVENUE,DUBOIS,CLEARFIELD,PA,15801,33.3,,Hour,I,2025,Q2
I-200-25071-768741,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,DUBOIS REGIONAL MEDICAL CENTER,,809 Turnpike Avenue,Clearfield,CLEARFIELD,PA,16830,32.19,,Hour,I,2025,Q2
I-200-25071-768768,Registered Nurse “ Critical Care Float Pool,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,MONONGAHELA VALLEY HOSPITAL,PENN HIGHLANDS MON VALLEY,1163 COUNTRY CLUB ROAD,MONONGAHELA,WASHINGTON,PA,15063,33.65,,Hour,I,2025,Q2
I-200-25071-768663,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,30.54,,Hour,I,2025,Q2
I-200-25071-767938,ER Registered Nurse,29-1141.00,registered nurses,Y,2025-03-25 00:00:00,2028-03-24 00:00:00,StaffCo of Brooklyn LLC,Southampton PEO,400 Pantigo Rd,East Hampton,SUFFOLK,NY,11937,52.02,63.21,Hour,,2025,Q2
I-200-25070-764773,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-04-04 00:00:00,2028-04-03 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,49.12,,Hour,II,2025,Q2
I-200-25070-766054,"Registered Nurse (ER, ICU, OB, and Surgery)",29-1141.00,registered nurses,Y,2025-04-15 00:00:00,2028-04-14 00:00:00,"Northeast Montana Health Services,  Inc.",Trinity Hospital,315 Knapp Street,Wolf Point,ROOSEVELT,MT,59201,45.01,,Hour,IV,2025,Q2
I-200-25069-762014,Registered Nurse (RN),29-1141.00,registered nurses,Y,2025-03-31 00:00:00,2028-03-30 00:00:00,Helping Hands Project Organization,,1314 26th St.,Everett,SNOHOMISH,WA,98201,48.84,,Hour,II,2025,Q2
I-200-25069-761160,Registered Nurse- ICU,29-1141.00,registered nurses,Y,2025-05-05 00:00:00,2028-05-04 00:00:00,CentraCare Health System,,1406 6th Avenue North,St Cloud,STEARNS,MN,56303,55.4,,Hour,II,2025,Q2
I-200-25069-761035,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-06 00:00:00,2028-09-05 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Ave,Baltimore,BALTIMORE,MD,21215,41.56,,Hour,II,2025,Q2
I-200-25069-761124,Registered Nurse- ICU,29-1141.00,registered nurses,Y,2025-05-05 00:00:00,2028-05-04 00:00:00,CentraCare Health System,,1406 6th Avenue North,St Cloud,STEARNS,MN,56303,44.81,,Hour,II,2025,Q2
I-200-25066-755707,RN Inpatient III,29-1141.00,registered nurses,Y,2025-07-11 00:00:00,2028-07-10 00:00:00,UNM Hospital,,2211 Lomas Blvd NE,Albuquerque,BERNALILLO,NM,87106,32.22,45.33,Hour,,2025,Q2
I-200-25066-755657,Registered Nurse - Emergency Department,29-1141.00,registered nurses,Y,2025-04-28 00:00:00,2028-04-27 00:00:00,Elk Regional Health Center (d/b/a Penn Highlands Elk),,763 Johnsonburg Road,St. Marys,ELK,PA,15857,30.33,,Hour,I,2025,Q2
I-200-25066-755141,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-03 00:00:00,2028-09-02 00:00:00,"Sinai Hospital of Balitmore, Inc.",,2401 West Belvedere Ave,Baltimore,BALTIMORE,MD,21215,45.1,,Hour,II,2025,Q2
I-200-25066-756586,PROGRESSIVE CARE UNIT NURSE SPECIALIST-TELEMETRY,29-1141.00,registered nurses,Y,2025-04-07 00:00:00,2028-04-06 00:00:00,CARNEGIE HEALTH & LIFE SCIENCES INC,,800 W Meeting St.,St. Lancaster,LANCASTER,SC,29720,36,,Hour,II,2025,Q2
I-200-25066-755776,RN Inpatient III,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,UNM Hospital,,2211 Lomas Blvd NE,Albuquerque,BERNALILLO,NM,87106,32.22,45.33,Hour,,2025,Q2
I-200-25066-758367,Observation RN,29-1141.00,registered nurses,Y,2025-03-17 00:00:00,2028-03-16 00:00:00,The Stamford Hospital,,One Hospital Plaza,Stamford,FAIRFIELD,CT,06902,62.8,,Hour,IV,2025,Q2
I-200-25066-755148,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-03 00:00:00,2028-09-02 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,43.33,,Hour,II,2025,Q2
I-200-25066-753802,RN Float Pool II,29-1141.00,registered nurses,Y,2025-03-20 00:00:00,2028-03-19 00:00:00,"Insight Global, LLC",,600 Wilson Creek Rd,Lawrenceburg,DEARBORN,IN,47025,41.26,,Hour,III,2025,Q2
I-200-25066-753810,RN Float Pool “ Bachelors Degree Nursing,29-1141.00,registered nurses,Y,2025-03-20 00:00:00,2028-03-19 00:00:00,"Insight Global, LLC",,1500 James Simpson Jr. Way,Covington,KENTON,KY,41011,41.26,,Hour,III,2025,Q2
I-200-25065-752202,Nurse Clinician II,29-1141.00,registered nurses,Y,2025-04-03 00:00:00,2028-04-02 00:00:00,Harris County Hospital District,Harris Health System,5656 Kelley St.,Houston,HARRIS,TX,77026,43.74,,Hour,I,2025,Q2
I-200-25065-753019,Registered Nurse,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,Pocono Medical Center,d/b/a Lehigh Valley Hospital “ Pocono,Lehigh Valley Hospital - Dickson City,Dickson City,LACKAWANNA,PA,18519,40,45,Hour,I,2025,Q2
I-200-25065-750057,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,44.03,,Hour,II,2025,Q2
I-200-25066-753804,RN Float Pool II,29-1141.00,registered nurses,Y,2025-03-20 00:00:00,2028-03-19 00:00:00,"Insight Global, LLC",,1500 James Simpson Jr. Way,Covington,KENTON,KY,41011,41.26,,Hour,III,2025,Q2
I-200-25065-750023,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,41.89,,Hour,II,2025,Q2
I-200-25065-753106,Registered Nurse,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,Pocono Medical Center,d/b/a Lehigh Valley Hospital “ Pocono,Lehigh Valley Hospital - Pocono,East Stroudsburg,MONROE,PA,18301,40,45,Hour,,2025,Q2
I-200-25065-753040,Registered Nurses,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,Lehigh Valley Hospital - Schuylkill,,Lehigh Valley Hospital - Schuylkill,Pottsville,SCHUYLKILL,PA,17901,40,45,Hour,I,2025,Q2
I-200-25065-753122,Registered Nurses,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,Lehigh Valley Hospital - Schuylkill,,Lehigh Valley Hospital - Schuylkill,Pottsville,SCHUYLKILL,PA,17901,40,45,Hour,,2025,Q2
I-200-25066-753799,RN Float Pool “ Bachelors Degree Nursing,29-1141.00,registered nurses,Y,2025-03-20 00:00:00,2028-03-19 00:00:00,"Insight Global, LLC",,600 Wilson Creek Rd.,Lawrenceburg,DEARBORN,IN,47025,41.26,,Hour,III,2025,Q2
I-200-25065-750074,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,44.03,,Hour,II,2025,Q2
I-200-25065-753100,Registered Nurse,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,Lehigh Valley Hospital Inc.,d/b/a Lehigh Valley Health Network,Lehigh Valley Hospital - Cedar Crest,Allentown,LEHIGH,PA,18103,40,45,Hour,I,2025,Q2
I-200-25065-753052,Registered Nurse,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,Lehigh Valley Hospital - Hazleton,,Lehigh Valley Hospital - Hazleton,Hazleton,LUZERNE,PA,18201,40,45,Hour,,2025,Q2
I-200-25064-746339,RN-Resource Team,29-1141.00,registered nurses,Y,2025-05-12 00:00:00,2028-05-11 00:00:00,"Insight Global, LLC",,1210 S Old Dixie Hwy,Jupiter,PALM BEACH,FL,33458,42.12,,Hour,III,2025,Q2
I-200-25064-745805,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-01 00:00:00,2028-08-31 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,45.1,,Hour,II,2025,Q2
I-200-25064-746132,Registered Nurse,29-1141.00,registered nurses,Y,2025-09-01 00:00:00,2028-08-31 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,42.44,,Hour,II,2025,Q2
I-200-25063-741090,Registered Nurse,29-1141.00,registered nurses,Y,2025-08-31 00:00:00,2028-08-30 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,45.1,,Hour,II,2025,Q2
I-200-25063-741081,Registered Nurse,29-1141.00,registered nurses,Y,2025-08-31 00:00:00,2028-08-30 00:00:00,"Sinai Hospital of Baltimore, Inc.",,2401 West Belvedere Avenue,Baltimore,BALTIMORE,MD,21215,42.44,,Hour,II,2025,Q2
I-200-25063-742128,Registered Nurse “ Critical Care Float Pool,29-1141.00,registered nurses,Y,2025-04-21 00:00:00,2028-04-20 00:00:00,MONONGAHELA VALLEY HOSPITAL,PENN HIGHLANDS MON VALLEY,1163 COUNTRY CLUB ROAD,MONONGAHELA,WASHINGTON,PA,15063,36.13,,Hour,II,2025,Q2
I-200-25063-742070,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-21 00:00:00,2028-04-20 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,30.78,,Hour,I,2025,Q2
I-200-25062-739734,Registered Nurse IV,29-1141.00,registered nurses,Y,2025-04-07 00:00:00,2028-04-06 00:00:00,The Unity Hospital of Rochester,,1555 Long Pond Road,Rochester,MONROE,NY,14626,39.52,,Hour,II,2025,Q2
I-200-25062-739040,Registered Nurse - Emergency Department,29-1141.00,registered nurses,Y,2025-04-21 00:00:00,2028-04-20 00:00:00,Monongahela Valley Hospital (d/b/a Penn Highlands Mon Valley),,1163 Country Club Road,Monongahela,WASHINGTON,PA,15063,37,,Hour,II,2025,Q2
I-200-25062-738309,Registered Nurse - BSN,29-1141.00,registered nurses,Y,2025-03-12 00:00:00,2028-03-11 00:00:00,Missouri Slope Lutheran Care Center Inc.,,4916 N Washington St.,Bismarck,BURLEIGH,ND,85803,36.45,,Hour,II,2025,Q2
I-200-25059-734043,Registered Nurse,29-1141.00,registered nurses,N,2025-07-16 00:00:00,2028-07-15 00:00:00,Cincinnati Children's Hospital Medical Center,,3333 Burnet Ave,Cincinnati,HAMILTON,OH,45229,34,,Hour,I,2025,Q2
I-200-25059-732243,Trauma Unit RN,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,OhioHealth Corp.,,111 S. Grant Ave.,Columbus,FRANKLIN,OH,43215,34.58,49.57,Hour,III,2025,Q2
I-200-25059-732246,Emergency Department RN,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,OhioHealth Corp.,,111 S. Grant Ave.,Columbus,FRANKLIN,OH,43215,34.58,49.57,Hour,III,2025,Q2
I-200-25058-730529,Oncology RN,29-1141.00,registered nurses,Y,2025-06-01 00:00:00,2028-05-31 00:00:00,OhioHealth Corp.,,3535 Olentangy River Road,Columbus,FRANKLIN,OH,43214,34.58,49.57,Hour,III,2025,Q2
I-200-25057-725608,Registered Nurse - Critical Care Float Pool,29-1141.00,registered nurses,Y,2025-04-21 00:00:00,2028-04-20 00:00:00,DuBois Regional Medical Center (d/b/a Penn Highlands DuBois),,100 Hospital Ave,DuBois,CLEARFIELD,PA,15801,34.36,,Hour,II,2025,Q2
I-200-25056-723087,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-05-05 00:00:00,2028-05-04 00:00:00,University of Rochester,,"Strong Medical Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,41.48,,Hour,II,2025,Q2
I-200-25056-723151,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,44.91,,Hour,II,2025,Q2
I-200-25056-722567,Registered Nurse “ Cardiac Cath Lab,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,DUBOIS REGIONAL MEDICAL CENTER,PENN HIGHLANDS DUBOIS,100 HOSPITAL AVENUE,DUBOIS,CLEARFIELD,PA,15801,30.55,,Hour,I,2025,Q2
I-200-25056-723429,Registered Nurse,29-1141.00,registered nurses,Y,2025-03-17 00:00:00,2028-03-16 00:00:00,Revolutionary Palliative Care Inc,,829 Scranton Carbondale Highway,Eynon,LACKAWANNA,PA,18403,61318,,Year,I,2025,Q2
I-200-25056-723205,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,41.48,,Hour,II,2025,Q2
I-200-25056-722492,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,MONONGAHELA VALLEY HOSPITAL,PENN HIGHLANDS MON VALLEY,1163 COUNTRY CLUB ROAD,MONONGAHELA,WASHINGTON,PA,15063,37.88,,Hour,II,2025,Q2
I-200-25056-723034,Glide Team Registered Nurse 2 Inpatient,29-1141.00,registered nurses,Y,2025-06-02 00:00:00,2028-06-01 00:00:00,University of Rochester,,"Strong Memorial Hospital, 601 Elmwood Avenue",Rochester,MONROE,NY,14642,42.31,,Hour,II,2025,Q2
I-200-25055-719047,Registered Nurse - Emergency Department,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,DuBois Regional Medical Center (d/b/a Penn Highlands DuBois),,100 Hospital Ave,DuBois,CLEARFIELD,PA,15801,34.83,,Hour,II,2025,Q2
I-200-25055-719061,Registered Nurse - Behavioral Health Unit,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,DuBois Regional Medical Center (d/b/a Penn Highlands DuBois),,100 Hospital Ave,DuBois,CLEARFIELD,PA,15801,33.11,,Hour,I,2025,Q2
I-200-25055-719018,Registered Nurse - Critical Care Float Pool,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,DuBois Regional Medical Center (d/b/a Penn Highlands DuBois),,100 Hospital Ave,DuBois,CLEARFIELD,PA,15801,33.3,,Hour,I,2025,Q2
I-200-25055-719084,Registered Nurse IV,29-1141.00,registered nurses,Y,2025-03-31 00:00:00,2028-03-30 00:00:00,Rochester General Hospital,,1425 Portland Avenue,Rochester,MONROE,NY,14621,46.54,,Hour,,2025,Q2
I-200-25055-719099,Registered Nurse IV,29-1141.00,registered nurses,Y,2025-03-31 00:00:00,2028-03-30 00:00:00,Rochester General Hospital,,1425 Portland Avenue,Rochester,MONROE,NY,14621,39.52,45.5,Hour,,2025,Q2
I-200-25052-713593,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,MONONGAHELA VALLEY HOSPITAL,PENN HIGHLANDS MON VALLEY,1163 COUNTRY CLUB ROAD,MONONGAHELA,WASHINGTON,PA,15063,37.88,,Hour,II,2025,Q2
I-200-25052-713610,Registered Nurse “ Emergency Department,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,ELK REGIONAL HEALTH CENTER,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST. MARYS,ELK,PA,15857,33.36,,Hour,I,2025,Q2
I-200-25052-713884,Registered Nurse “ Behavioral Health Unit,29-1141.00,registered nurses,Y,2025-04-07 00:00:00,2028-04-06 00:00:00,J. C. BLAIRE HOSPITAL,PENN HIGHLANDS HUNTINGDON,1225 WARM SPRINGS AVENUE,HUNTINGDON,HUNTINGDON,PA,16652,32.17,,Hour,I,2025,Q2
I-200-25051-712526,Registered Nurse IV,29-1141.00,registered nurses,Y,2025-03-31 00:00:00,2028-03-30 00:00:00,The Unity Hospital of Rochester,,1555 Long Pond Road,Rochester,MONROE,NY,14626,39.52,41.08,Hour,II,2025,Q2
I-200-25051-712147,Clinical IV Registered Nurse,29-1141.00,registered nurses,Y,2025-06-11 00:00:00,2028-06-10 00:00:00,Alameda Health System,,1411 East 31st Street,Oakland,ALAMEDA,CA,94602,90.76,,Hour,,2025,Q2
I-200-25051-712516,Registered Nurse IV,29-1141.00,registered nurses,Y,2025-03-31 00:00:00,2028-03-30 00:00:00,The Unity Hospital of Rochester,,1555 Long Pond Road,Rochester,MONROE,NY,14626,40.56,44.46,Hour,II,2025,Q2
I-200-25050-706360,Registered Nurse “ Cardiac Cath Lab,29-1141.00,registered nurses,Y,2025-04-14 00:00:00,2028-04-13 00:00:00,DUBOIS REGIONAL MEDICAL CENTER,PENN HIGHLANDS DUBOIS,100 HOSPITAL AVE.,DUBOIS,CLEARFIELD,PA,15801,32.85,,Hour,I,2025,Q2
I-200-25050-708701,Psychiatric Registered Nurse (Educational Preceptor),29-1141.00,registered nurses,Y,2025-03-15 00:00:00,2028-03-14 00:00:00,Idaho Healthcare Institute,,5332 Jackson Drive,La Mesa,SAN DIEGO,CA,91942,47.47,,Hour,I,2025,Q2
